#x,errorFunction
-3,-0.999978632326396
-2.99,-0.999977209373269
-2.98,-0.999975696446114
-2.97,-0.999974088187215
-2.96,-0.999972378941845
-2.95,-0.999970562743199
-2.94,-0.999968633296649
-2.93,-0.999966583963296
-2.92,-0.999964407742793
-2.91,-0.999962097255406
-2.9,-0.999959644723288
-2.89,-0.999957041950945
-2.88,-0.999954280304853
-2.87,-0.999951350692202
-2.86,-0.999948243538741
-2.85,-0.99994494876568
-2.84,-0.99994145576563
-2.83,-0.999937753377546
-2.82,-0.999933829860628
-2.81,-0.999929672867165
-2.8,-0.99992526941427
-2.79,-0.999920605854482
-2.78,-0.999915667845194
-2.77,-0.999910440316875
-2.76,-0.999904907440039
-2.75,-0.99989905259094
-2.74,-0.999892858315938
-2.73,-0.999886306294505
-2.72,-0.999879377300841
-2.71,-0.999872051164035
-2.7,-0.999864306726765
-2.69,-0.999856121802464
-2.68,-0.999847473130941
-2.67,-0.999838336332388
-2.66,-0.999828685859756
-2.65,-0.999818494949444
-2.64,-0.999807735570266
-2.63,-0.999796378370654
-2.62,-0.999784392624049
-2.61,-0.999771746172454
-2.6,-0.999758405368091
-2.59,-0.999744335013128
-2.58,-0.999729498297445
-2.57,-0.999713856734378
-2.56,-0.999697370094419
-2.55,-0.99967999633683
-2.54,-0.999661691539121
-2.53,-0.999642409824368
-2.52,-0.999622103286331
-2.51,-0.999600721912326
-2.5,-0.999578213503831
-2.49,-0.99955452359478
-2.48,-0.999529595367524
-2.47,-0.999503369566412
-2.46,-0.999475784408983
-2.45,-0.999446775494725
-2.44,-0.999416275711381
-2.43,-0.999384215138778
-2.42,-0.999350520950161
-2.41,-0.999315117311005
-2.4,-0.99927792527529
-2.39,-0.999238862679237
-2.38,-0.999197844032463
-2.37,-0.999154780406591
-2.36,-0.99910957932126
-2.35,-0.999062144627574
-2.34,-0.999012376388967
-2.33,-0.998960170759492
-2.32,-0.998905419859555
-2.31,-0.99884801164909
-2.3,-0.9987878297982
-2.29,-0.998724753555289
-2.28,-0.998658657612698
-2.27,-0.998589411969887
-2.26,-0.998516881794197
-2.25,-0.998440927279224
-2.24,-0.998361403500862
-2.23,-0.998278160271054
-2.22,-0.998191041989324
-2.21,-0.998099887492138
-2.2,-0.998004529900172
-2.19,-0.997904796463556
-2.18,-0.997800508405193
-2.17,-0.997691480762214
-2.16,-0.997577522225689
-2.15,-0.997458434978691
-2.14,-0.997334014532816
-2.13,-0.997204049563283
-2.12,-0.997068321742744
-2.11,-0.996926605573927
-2.1,-0.99677866822126
-2.09,-0.996624269341631
-2.08,-0.996463160914428
-2.07,-0.996295087071042
-2.06,-0.996119783923993
-2.05,-0.99593697939588
-2.04,-0.995746393048327
-2.03,-0.995547735911152
-2.02,-0.995340710311949
-2.01,-0.995125009706312
-2,-0.994900318508938
-1.99,-0.994666311925828
-1.98,-0.994422655787862
-1.97,-0.994169006385979
-1.96,-0.993905010308252
-1.95,-0.993630304279114
-1.94,-0.993344515001042
-1.93,-0.99304725899898
-1.92,-0.99273814246781
-1.91,-0.992416761123194
-1.9,-0.99208270005609
-1.89,-0.991735533591305
-1.88,-0.991374825150396
-1.87,-0.991000127119291
