# energy E[GeV], signal [certain units], experimental uncertainty [same units]
101.0,-0.25,2.0
103.0,-0.30,2.0
105.0,-0.15,1.9
107.0,-1.71,1.9
109.0,0.81,1.9
111.0,0.65,1.9
113.0,-0.91,1.9
115.0,0.91,1.9
117.0,0.96,1.6
119.0,-2.52,1.6
121.0,-1.01,1.6
123.0,2.01,1.6
125.0,4.83,1.6
127.0,4.58,1.6
129.0,1.26,1.3
131.0,1.01,1.3
133.0,-1.26,1.3
135.0,0.45,1.3
137.0,0.15,1.3
139.0,-0.91,1.3
141.0,-0.81,1.1
143.0,-1.41,1.1
145.0,1.36,1.1
147.0,0.50,1.1
149.0,-0.45,1.1
151.0,1.61,1.1
153.0,-2.21,1.1
155.0,-1.86,0.9
157.0,1.76,0.9
159.0,-0.50,0.9
